               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  91,            0.055549,            0.036167,           0.0034632,             0.93177,              0.6352,             0.76179,             0.56527,            0.039157,            0.031275,           0.0020163,             0.00703,             0.00703,             0.00703
                  92,             0.05226,              0.0411,           0.0043193,             0.92683,              0.6435,              0.8346,             0.58003,            0.037511,             0.03153,           0.0020189,            0.006997,            0.006997,            0.006997
                  93,            0.053793,            0.037576,           0.0034205,             0.56155,             0.83333,             0.91248,             0.71245,            0.040656,            0.029879,           0.0021439,            0.006964,            0.006964,            0.006964
                  94,            0.051154,             0.03792,           0.0033027,             0.68741,                   1,             0.95817,             0.71723,            0.039503,            0.028335,           0.0023115,            0.006931,            0.006931,            0.006931
                  95,            0.053348,            0.036494,           0.0031197,             0.53274,                   1,             0.96677,             0.68063,            0.041603,            0.030396,           0.0028853,            0.006898,            0.006898,            0.006898
                  96,            0.052924,             0.03799,           0.0038458,             0.96612,             0.66667,             0.89094,             0.56753,            0.042442,             0.03199,           0.0033498,            0.006865,            0.006865,            0.006865
                  97,            0.054791,            0.034429,           0.0038501,             0.96459,             0.66667,              0.6537,             0.50218,            0.040929,            0.034712,           0.0042572,            0.006832,            0.006832,            0.006832
                  98,            0.051527,             0.03465,           0.0041349,             0.95739,             0.66667,              0.6465,             0.49496,            0.036831,            0.035589,           0.0048361,            0.006799,            0.006799,            0.006799
                  99,            0.050738,            0.038366,           0.0033219,             0.95293,             0.65474,             0.65128,             0.44457,            0.042235,            0.034814,            0.004528,            0.006766,            0.006766,            0.006766
                 100,            0.054466,            0.035631,           0.0035663,             0.93092,             0.66262,             0.80636,              0.5951,            0.037837,            0.031691,            0.004077,            0.006733,            0.006733,            0.006733
                 101,            0.052438,            0.038268,           0.0046055,             0.92069,             0.64444,             0.80359,             0.50398,            0.035898,            0.030375,           0.0034037,              0.0067,              0.0067,              0.0067
                 102,            0.051768,            0.037066,            0.003528,             0.56899,             0.83333,             0.79121,             0.54663,            0.036846,            0.031578,             0.00314,            0.006667,            0.006667,            0.006667
                 103,            0.052583,            0.035526,           0.0039687,             0.59366,             0.83333,             0.82748,             0.65266,            0.039478,            0.031133,           0.0028954,            0.006634,            0.006634,            0.006634
